school_name,sector
"Colegiul Național „Ion Luca Caragiale” București",1
"Colegiul Național „Ion Neculce” București",1
"Colegiul Național de Informatică „Tudor Vianu” București",1
"Colegiul de Muzică „G. Enescu” București",1
"Colegiul German „Goethe” București",1
"Colegiul Tehnic Feroviar „Mihai I” București",1
"Liceul de Arte Plastice „N. Tonitza” București",1
"Liceul Greco-Catolic „Timotei Cipariu” București",1
"Liceul Teoretic „Alexandru Vlahuță” București",1
"Liceul Teoretic „Jean Monnet” București",1
"Liceul Teoretic „Nicolae Iorga” București",1
"Liceul Teoretic Bilingv „Miguel de Cervantes” București",1
"Liceul Teoretic Bulgar „Hristo Botev” București",1
"Școala Gimnazială „Alexandru Costescu” București",1
"Școala Gimnazială „Elena Văcărescu” București",1
"Școala Gimnazială „Eugen Barbu” București",1
"Școala Gimnazială „Geo Bogza” București",1
"Școala Gimnazială „Herăstrău” București",1
"Școala Gimnazială „I. H. Rădulescu” București",1
"Școala Gimnazială „Nicolae Grigorescu” București",1
"Școala Gimnazială „Nicolae Titulescu” București",1
"Școala Gimnazială „Petre Ispirescu” București",1
"Școala Gimnazială „Pia Brătianu” București",1
"Școala Gimnazială „Sf. Nicolae” București",1
"Școala Gimnazială „Uruguay” București",1
"Școala Gimnazială „Vasile Alecsandri” București",1
"Școala Gimnazială Nr. 1 „Sfinții Voievozi” București",1
"Școala Gimnazială Nr. 5 București",1
"Școala Gimnazială Nr. 6 București",1
"Școala Gimnazială Nr. 7 București",1
"Școala Gimnazială Nr. 13 București",1
"Școala Gimnazială Nr. 45 „Titu Maiorescu” București",1
"Școala Gimnazială Nr. 162 București",1
"Școala Gimnazială Nr. 178 București",1
"Școala Gimnazială Nr. 179 București",1
"Școala Gimnazială Nr. 181 București",1
"Școala Gimnazială Nr. 183 București",1
"Școala Gimnazială Nr. 184 București",1
"Școala Gimnazială Nr. 192 București",1
"Colegiul Național „Cantemir Vodă” București",2
"Colegiul Național „Emil Racoviță” București",2
"Colegiul Național „Spiru Haret” București",2
"Colegiul Național „Victor Babeș” București",2
"Colegiul Național Bilingv „George Coșbuc” București",2
"Liceul Tehnologic „Sf. Pantelimon” București",2
"Liceul Teoretic Bilingv "Ita Wegman" București",2
"Liceul Teoretic „Ady Endre” București",2
"Liceul Teoretic „Lucian Blaga” București",2
"Școala Centrală București",2
"Școala Gimnazială „Ferdinand I” București",2
"Școala Gimnazială „Grigorie Ghica Voievod” București",2
"Școala Gimnazială „Iancului” București",2
"Școala Gimnazială „Maica Domnului” București",2
"Școala Gimnazială „Maria Rosetti” București",2
"Școala Gimnazială „Petre Ghelmez” București",2
"Școala Gimnazială „Sf. Silvestru” București",2
"Școala Gimnazială „Tudor Arghezi” București",2
"Școala Gimnazială Nr. 4 București",2
"Școala Gimnazială Nr. 24 București",2
"Școala Gimnazială Nr. 25 București",2
"Școala Gimnazială Nr. 27 București",2
"Școala Gimnazială Nr. 28 București",2
"Școala Gimnazială Nr. 31 București",2
"Școala Gimnazială Nr. 32 București",2
"Școala Gimnazială Nr. 39 București",2
"Școala Gimnazială Nr. 40 București",2
"Școala Gimnazială Nr. 41 București",2
"Școala Gimnazială Nr. 46 București",2
"Școala Gimnazială Nr. 49 București",2
"Școala Gimnazială Nr. 51 București",2
"Școala Gimnazială Nr. 56 București",2
"Școala Gimnazială Nr. 62 București",2
"Școala Gimnazială Nr. 66 București",2
"Școala Gimnazială Nr. 71 București",2
"Școala Gimnazială Nr. 77 București",2
"Școala Gimnazială Nr. 85 București",2
"Școala Gimnazială Nr. 145 București",2
"Școala Gimnazială Nr. 307 București",2
"Liceul Teoretic „Dante Alighieri” București",3
"Liceul Teoretic „Decebal” București",3
"Liceul Teoretic „Nichita Stănescu” București",3
"Școala Gimnazială „Al. I. Cuza” București",3
"Școala Gimnazială „Barbu Delavrancea” București",3
"Școala Gimnazială „Cezar Bolliac” București",3
"Școala Gimnazială „Federico Garcia Lorca” București",3
"Școala Gimnazială „Leonardo da Vinci” București",3
"Școala Gimnazială „Liviu Rebreanu” București",3
"Școala Gimnazială „Mexic” București",3
"Școala Gimnazială „Mihai Botez” București",3
"Școala Gimnazială „Nicolae Labiș” București",3
"Școala Gimnazială „Voievod Neagoe Basarab” București",3
"Școala Gimnazială Nr. 20 București",3
"Școala Gimnazială Nr. 47 București",3
"Școala Gimnazială Nr. 54 București",3
"Școala Gimnazială Nr. 55 București",3
"Școala Gimnazială Nr. 67 București",3
"Școala Gimnazială Nr. 78 București",3
"Școala Gimnazială Nr. 80 București",3
"Școala Gimnazială Nr. 81 București",3
"Școala Gimnazială Nr. 82 București",3
"Școala Gimnazială Nr. 84 București",3
"Școala Gimnazială Nr. 86 București",3
"Școala Gimnazială Nr. 88 „Shanghai” București",3
"Școala Gimnazială Nr. 92 București",3
"Școala Gimnazială Nr. 95 București",3
"Școala Gimnaziala Nr. 112 București",3
"Școala Gimnazială Nr. 116 București",3
"Școala Gimnazială Nr. 149 București",3
"Școala Gimnazială Nr. 195 București",3
"Școala Gimnazială Nr. 200 București",3
"Colegiul Național „Mihai Eminescu” București",4
"Colegiul Național de Arte „Dinu Lipatti” București",4
"Colegiul Tehnic „Petru Rareș” București",4
"Liceul de Coregrafie „Floria Capsali” București",4
"Școala Gimnazială „Avram Iancu” București",4
"Școala Gimnazială „Emil Racoviță” București",4
"Școala Gimnazială „General Eremia Grigorescu” București",4
"Școala Gimnazială „George Bacovia” București",4
"Școala Gimnazială „George Topârceanu” București",4
"Școala Gimnazială „Ienăchiță Văcărescu” București",4
"Școala Gimnazială „Ionel Teodoreanu” București",4
"Școala Gimnazială Nr. 79 București",4
"Școala Gimnazială Nr. 96 București",4
"Școala Gimnazială Nr. 97 București",4
"Școala Gimnazială Nr. 99 București",4
"Școala Gimnazială Nr. 108 București",4
"Școala Gimnazială Nr. 109 „Șerban Vodă” București",4
"Școala Gimnazială Nr. 113 București",4
"Școala Gimnazială Nr. 119 București",4
"Școala Gimnazială Nr. 120 „Mărțișor” București",4
"Școala Gimnazială Nr. 129 București",4
"Școala Gimnazială Nr. 133 București",4
"Școala Gimnazială Nr. 165 București",4
"Școala Gimnazială Nr. 189 București",4
"Școala Gimnazială Nr. 190 București",4
"Școala Gimnazială Nr. 194 București",4
"Școala Gimnazială Nr. 308 București",4
"Colegiul Național „Gheorghe Lazăr” București",5
"Colegiul Economic „Viilor” București",5
"Liceul Teoretic „Dimitrie Bolintineanu” București",5
"Liceul Teoretic „Ion Barbu” București",5
"Liceul Teoretic „Ștefan Odobleja” București",5
"Școala Gimnazială „G. Tocilescu” București",5
"Școala Gimnazială „George Călinescu” București",5
"Școala Gimnazială „I. G. Duca” București",5
"Școala Gimnazială „Ion I. C. Brătianu” București",5
"Școala Gimnazială „Luceafărul” București",5
"Școala Gimnazială „Mircea Sântimbreanu” București",5
"Școala Gimnazială „Petrache Poenaru” București",5
"Școala Gimnazială „Principesa Margareta” București",5
"Școala Gimnazială Nr. 2 București",5
"Școala Gimnazială Nr. 103 București",5
"Școala Gimnazială Nr. 115 București",5
"Școala Gimnazială Nr. 124 București",5
"Școala Gimnazială Nr. 125 București",5
"Școala Gimnazială Nr. 126 București",5
"Școala Gimnazială Nr. 127 București",5
"Școala Gimnazială Nr. 128 București",5
"Școala Gimnazială Nr. 131 București",5
"Școala Gimnazială Nr. 134 București",5
"Școala Gimnazială Nr. 135 București",5
"Școala Gimnazială Nr. 136 București",5
"Școala Gimnazială Nr. 143 București",5
"Școala Gimnazială Nr. 144 București",5
"Școala Gimnazială Nr. 150 București",5
"Școala Gimnazială Nr. 188 București",5
"Școala Gimnazială Nr. 280 București",5
"Colegiul Național „Elena Cuza” București",6
"Colegiul Național „Grigore Moisil” București",6
"Colegiul Economic „Costin C. Kirițescu” București",6
"Liceul cu Program Sportiv „Mircea Eliade” București",6
"Liceul Tehnologic „Sf. Antim Ivireanu” București",6
"Liceul Teoretic „Eugen Lovinescu” București",6
"Liceul Teoretic „Marin Preda” București",6
"Școala Gimnazială „Adrian Păunescu” București",6
"Școala Gimnazială „Constantin Brâncuși” București",6
