sector,scoala,total,participanti
1,"Colegiul Național „Ion Luca Caragiale” București",26,23
1,"Colegiul Național „Ion Neculce” București",62,46
1,"Colegiul Național de Informatică „Tudor Vianu” București",49,46
1,"Colegiul de Muzică „G. Enescu” București",48,7
1,"Colegiul German „Goethe” București",124,70
1,"Colegiul Tehnic Feroviar „Mihai I” București",20,20
1,"Liceul de Arte Plastice „N. Tonitza” București",55,24
1,"Liceul Greco-Catolic „Timotei Cipariu” București",66,0
1,"Liceul Teoretic „Alexandru Vlahuță” București",92,89
1,"Liceul Teoretic „Jean Monnet” București",113,100
1,"Liceul Teoretic „Nicolae Iorga” București",99,86
1,"Liceul Teoretic Bilingv „Miguel de Cervantes” București",73,22
1,"Liceul Teoretic Bulgar „Hristo Botev” București",0,0
1,"Școala Gimnazială „Alexandru Costescu” București",70,49
1,"Școala Gimnazială „Elena Văcărescu” București",102,87
1,"Școala Gimnazială „Eugen Barbu” București",29,23
1,"Școala Gimnazială „Geo Bogza” București",75,54
1,"Școala Gimnazială „Herăstrău” București",148,116
1,"Școala Gimnazială „I. H. Rădulescu” București",71,67
1,"Școala Gimnazială „Nicolae Grigorescu” București",0,0
1,"Școala Gimnazială „Nicolae Titulescu” București",87,50
1,"Școala Gimnazială „Petre Ispirescu” București",33,29
1,"Școala Gimnazială „Pia Brătianu” București",160,143
1,"Școala Gimnazială „Sf. Nicolae” București",40,34
1,"Școala Gimnazială „Uruguay” București",19,11
1,"Școala Gimnazială „Vasile Alecsandri” București",19,16
1,"Școala Gimnazială Nr. 1 „Sfinții Voievozi” București",68,37
1,"Școala Gimnazială Nr. 5 București",45,39
1,"Școala Gimnazială Nr. 6 București",13,9
1,"Școala Gimnazială Nr. 7 București",72,33
1,"Școala Gimnazială Nr. 13 București",31,29
1,"Școala Gimnazială Nr. 45 „Titu Maiorescu” București",147,79
1,"Școala Gimnazială Nr. 162 București",0,0
1,"Școala Gimnazială Nr. 178 București",27,22
1,"Școala Gimnazială Nr. 179 București",140,91
1,"Școala Gimnazială Nr. 181 București",37,32
1,"Școala Gimnazială Nr. 183 București",25,15
1,"Școala Gimnazială Nr. 184 București",10,9
1,"Școala Gimnazială Nr. 192 București",0,0
2,"Colegiul Național „Cantemir Vodă” București",29,25
2,"Colegiul Național „Emil Racoviță” București",32,32
2,"Colegiul Național „Spiru Haret” București",27,24
2,"Colegiul Național „Victor Babeș” București",0,0
2,"Colegiul Național Bilingv „George Coșbuc” București",81,55
2,"Liceul Tehnologic „Sf. Pantelimon” București",23,19
2,"Liceul Teoretic Bilingv "Ita Wegman" București",48,35
2,"Liceul Teoretic „Ady Endre” București",6,5
2,"Liceul Teoretic „Lucian Blaga” București",37,34
2,"Școala Centrală București",110,103
2,"Școala Gimnazială „Ferdinand I” București",66,48
2,"Școala Gimnazială „Grigorie Ghica Voievod” București",104,94
2,"Școala Gimnazială „Iancului” București",62,38
2,"Școala Gimnazială „Maica Domnului” București",46,37
2,"Școala Gimnazială „Maria Rosetti” București",108,97
2,"Școala Gimnazială „Petre Ghelmez” București",91,72
2,"Școala Gimnazială „Sf. Silvestru” București",20,20
2,"Școala Gimnazială „Tudor Arghezi” București",51,44
2,"Școala Gimnazială Nr. 4 București",49,39
2,"Școala Gimnazială Nr. 24 București",56,49
2,"Școala Gimnazială Nr. 25 București",11,9
2,"Școala Gimnazială Nr. 27 București",145,145
2,"Școala Gimnazială Nr. 28 București",87,35
2,"Școala Gimnazială Nr. 31 București",36,36
2,"Școala Gimnazială Nr. 32 București",68,59
2,"Școala Gimnazială Nr. 39 București",57,48
2,"Școala Gimnazială Nr. 40 București",46,37
2,"Școala Gimnazială Nr. 41 București",35,32
2,"Școala Gimnazială Nr. 46 București",81,46
2,"Școala Gimnazială Nr. 49 București",151,81
2,"Școala Gimnazială Nr. 51 București",76,71
2,"Școala Gimnazială Nr. 56 București",105,72
2,"Școala Gimnazială Nr. 62 București",77,75
2,"Școala Gimnazială Nr. 66 București",0,0
2,"Școala Gimnazială Nr. 71 București",14,11
2,"Școala Gimnazială Nr. 77 București",33,30
2,"Școala Gimnazială Nr. 85 București",25,23
2,"Școala Gimnazială Nr. 145 București",18,13
2,"Școala Gimnazială Nr. 307 București",78,78
3,"Liceul Teoretic „Dante Alighieri” București",87,74
3,"Liceul Teoretic „Decebal” București",11,11
3,"Liceul Teoretic „Nichita Stănescu” București",37,32
3,"Școala Gimnazială „Al. I. Cuza” București",88,81
3,"Școala Gimnazială „Barbu Delavrancea” București",3,3
3,"Școala Gimnazială „Cezar Bolliac” București",82,70
3,"Școala Gimnazială „Federico Garcia Lorca” București",98,97
3,"Școala Gimnazială „Leonardo da Vinci” București",119,103
3,"Școala Gimnazială „Liviu Rebreanu” București",0,0
3,"Școala Gimnazială „Mexic” București",10,9
3,"Școala Gimnazială „Mihai Botez” București",20,5
3,"Școala Gimnazială „Nicolae Labiș” București",84,78
3,"Școala Gimnazială „Voievod Neagoe Basarab” București",17,14
3,"Școala Gimnazială Nr. 20 București",103,101
3,"Școala Gimnazială Nr. 47 București",4,2
3,"Școala Gimnazială Nr. 54 București",37,26
3,"Școala Gimnazială Nr. 55 București",61,26
3,"Școala Gimnazială Nr. 67 București",23,9
3,"Școala Gimnazială Nr. 78 București",11,11
3,"Școala Gimnazială Nr. 80 București",136,91
3,"Școala Gimnazială Nr. 81 București",80,68
3,"Școala Gimnazială Nr. 82 București",65,65
