factor,total,s1,s2,s3,s4,s5,s6
"a. Justiție",1415,210,235,289,198,173,310
"b. Artă",1123,162,199,247,142,122,251
"c. Arhitectură",1303,199,225,262,158,156,303
"d. Agricultură",107,16,16,23,12,12,28
"e. Administrarea afacerilor",1493,226,246,301,213,170,337
"f. Inginerie și noile tehnologii (robotică, nanotehnologie, biotehnologie etc.)",1214,166,219,241,170,137,281
"g. Turism",474,52,71,88,71,65,127
"h. Armată",691,81,105,147,96,123,139
"i. Mass-media",748,104,124,156,107,78,179
"j. Educație / învățământ",428,47,73,94,48,48,118
"k. Cercetare",337,61,62,67,39,41,67
"l. Medicină",1607,262,269,322,218,186,350
"m. Teologie",62,8,11,9,7,9,18
"n. Informatică / computer science",1391,208,222,254,192,180,335
"o. Publicitate",258,37,44,46,35,40,56
"p. Ecologie, protecția mediului",81,11,17,12,7,8,26
"q. Curierat",45,2,9,10,6,11,7
"r. Transport",150,17,28,29,25,15,36
"s. Sport",1038,134,180,205,145,143,231
"ș. Politică și relații internaționale",293,50,51,53,39,32,68
"t. Psihologie / dezvoltare personală",1067,139,173,218,132,133,272
"ț. Finanțe - bănci",439,68,88,82,70,55,76
"u. Asistență socială",111,12,19,25,17,14,24
"v. Poliție",649,69,123,117,83,106,151
"w. Comerț",287,35,67,62,39,30,54
"x. Altele",1236,187,195,229,171,176,278
"y. Nu știu / Nu răspund",953,119,169,201,116,122,226

