factor,total,s1,s2,s3,s4,s5,s6
"A. Liceu - Filiera teoretică",7439,1074,1243,1473,998,923,1728
"Real",4635,742,766,896,628,520,1083
"1. Matematică-Informatică",1726,262,263,310,251,185,455
"2. Matematică-Informatică - bilingv - limba engleză",861,153,153,165,101,102,187
"3. Matematică-Informatică - bilingv - limba franceză",43,8,13,5,4,4,9
"4. Matematică-Informatică - bilingv - limba germană",64,21,8,13,7,5,10
"5. Matematică-Informatică - bilingv - limba italiană",19,1,1,14,1,1,1
"6. Matematică-Informatică - bilingv - limba spaniolă",36,5,4,4,8,6,9
"7. Matematică-Informatică - intensiv informatică",205,26,40,34,23,23,59
"8. Matematică-Informatică - intensiv limba engleză",153,29,20,30,25,16,33
"9. Matematică-Informatică - matern limba germană",25,10,4,5,1,2,3
"10. Matematică-Informatică - cu predare a limbii materne bulgară",0,0,0,0,0,0,0
"11. Matematică-Informatică - clase speciale, matern limba germană",29,8,6,3,4,4,4
"12. Științe ale naturii",887,119,151,193,129,101,194
"13. Științe ale naturii - bilingv limba engleză",453,83,84,85,53,59,89
"14. Științe ale naturii - bilingv limba italiană",18,2,2,4,5,0,5
"15. Științe ale naturii - intensiv limba engleză",106,12,17,28,14,11,24
"16. Științe ale naturii - matern limba italiană",7,3,0,2,2,0,0
"17. Științe ale naturii - matern limba maghiară",3,0,0,1,0,1,1
"Uman",2804,332,477,577,370,403,645
"18. Filologie",833,89,156,166,109,118,195
"19. Filologie - bilingv - limba engleză",651,74,113,148,70,98,148
"20. Filologie - bilingv - limba franceză",26,2,8,3,6,2,5
"21. Filologie - bilingv - limba germană",37,11,7,10,2,2,5
"22. Filologie - bilingv - limba italiană",30,1,2,20,0,3,4
"23. Filologie - bilingv - limba portugheză",1,0,1,0,0,0,0
"24. Filologie - bilingv - limba spaniolă",51,8,11,10,6,2,14
"25. Filologie - intensiv limba engleză",129,17,22,27,21,16,26
"26. Filologie - intensiv limba franceză",7,1,2,0,1,0,3
"27. Filologie - intensiv limba japoneză",25,2,2,6,2,8,5
"28. Filologie - intensiv limba chineză",2,0,0,0,1,0,1
"29. Filologie - cu predare a limbii materne bulgară",0,0,0,0,0,0,0
"30. Filologie - matern limba germană",16,5,3,3,1,1,3
"31. Filologie - cu predare a limbii materne neogreacă",2,0,0,0,0,0,2
"32. Filologie - cu predare a limbii materne rromani",12,1,1,4,0,2,4
"33. Filologie - cu predare a limbii materne rusă",6,0,3,0,1,0,2
"34. Științe sociale",593,63,86,105,96,107,136
"35. Științe sociale - matern limba germană",14,4,2,5,2,1,0
"36. Științe sociale - intensiv limba engleză",159,26,21,30,23,19,40
"37. Științe sociale - bilingv limba engleză",205,28,37,38,27,24,51
"38. Științe sociale - bilingv limba germană",5,0,0,2,2,0,1
"B. Liceu - Filiera tehnologică",526,54,109,106,64,58,135
"Tehnic / Chimie industrială",7,1,0,3,0,2,1
"39. Tehnician în chimie industrială",7,1,0,3,0,2,1
"Tehnic / Construcții, instalații și lucrări publice",30,2,5,7,4,3,9
"40. Tehnician desenator pentru construcții și instalații",15,2,3,3,2,1,4
"41. Tehnician în construcții și lucrări publice",11,0,2,2,2,1,4
"42. Tehnician instalator pentru construcții",4,0,0,2,0,1,1
"Tehnic / Electric",36,2,7,9,6,1,11
"43. Tehnician electrician electronist auto",21,2,4,2,4,1,8
"44. Tehnician electrotehnist",2,0,0,2,0,0,0
"45. Tehnician metrolog",1,0,0,0,1,0,0
